CLIENT [C(00006)]`OBJECT [C(00020)]`SUBOBJECT [C(00012)]`NRRANGENR [C(00004)]`TOYEAR [C(00008)]`FROMNUMBER [C(00040)]`TONUMBER [C(00040)]`NRLEVEL [C(00040)]`EXTERNIND [C(00002)]
400`  ANLAGENNR`  2301`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  2301`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  2310`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  2310`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  2310`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  2310`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  2310`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  2310`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  2310`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  2310`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  2310`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  2310`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  2310`  99`  0000`  000000000001`  000009999999`  00000000000000000000`
400`  ANLAGENNR`  2410`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  2410`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  2410`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  2410`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  2410`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  2410`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  2410`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  2410`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  2410`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  2410`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  2410`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  2510`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  2510`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  2510`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
400`  ANLAGENNR`  2510`  04`  0000`  000040000000`  000049999999`  00000000000000000000`
400`  ANLAGENNR`  2510`  05`  0000`  000050000000`  000059999999`  00000000000000000000`
400`  ANLAGENNR`  2510`  06`  0000`  000060000000`  000069999999`  00000000000000000000`
400`  ANLAGENNR`  2510`  07`  0000`  000070000000`  000079999999`  00000000000000000000`
400`  ANLAGENNR`  2510`  08`  0000`  000080000000`  000089999999`  00000000000000000000`
400`  ANLAGENNR`  2510`  09`  0000`  000090000000`  000099999999`  00000000000000000000`
400`  ANLAGENNR`  2510`  90`  0000`  A`  D`  00000000000000000000`  X
400`  ANLAGENNR`  2510`  99`  0000`  000000000001`  000009999999`  00000000000000000000`  X
400`  ANLAGENNR`  2610`  01`  0000`  000010000000`  000019999999`  00000000000000000000`
400`  ANLAGENNR`  2610`  02`  0000`  000020000000`  000029999999`  00000000000000000000`
400`  ANLAGENNR`  2610`  03`  0000`  000030000000`  000039999999`  00000000000000000000`
