MANDT [C(00006)]`KTOPL [C(00008)]`KTOGR [C(00016)]`AFABE [C(00004)]`KTSZUS [C(00020)]`KTSAFU [C(00020)]`KTNAFB [C(00020)]`KTNAFG [C(00020)]`KTNZUS [C(00020)]`KTNAFU [C(00020)]`KTSAFB [C(00020)]`KTSAFG [C(00020)]
400`  `  00010000`  01`  `  `  0000191900`  0000792100`  `  0000792100`  `
400`  CACZ`  00092100`  01`  `  `  0000081000`  0000551000`  0000551000`  `  `
400`  CACZ`  00092200`  01`  `  `  0000082000`  0000551000`  0000551000`  `  `
400`  CACZ`  00092500`  01`  `  `  0000085000`  0000551000`  0000551000`  `  `
400`  CACZ`  00092600`  01`  `  `  0000086000`  0000551000`  0000551000`  `  `
400`  CACZ`  00092800`  01`  `  `  0000088000`  0000551000`  0000551000`  `  `
400`  CACZ`  00092900`  01`  `  `  0000089000`  0000551000`  0000551000`  `  `
400`  CACZ`  00093100`  01`  `  `  0000089000`  0000551000`  0000551000`  `  `
400`  CACZ`  00093200`  01`  `  `  0000089000`  0000551000`  0000551000`  `  `
400`  CACZ`  00094100`  01`  `  `  0000079000`  0000551000`  0000551000`  `  `
400`  CACZ`  00094200`  01`  `  `  0000089000`  0000551000`  0000551000`  `  `
400`  CAES`  00010000`  01`  `  `  `  `  `  `  `
400`  CAES`  00020000`  01`  `  `  0000282200`  0000682000`  0000778400`  0000682000`  `
400`  CAES`  00030000`  01`  `  `  0000282600`  0000682000`  0000778400`  0000682000`  `
400`  CAES`  00040000`  01`  `  `  `  `  `  `  `
400`  CAFI`  00010000`  01`  `  `  0000113900`  0000783200`  `  0000783100`  `
400`  CAFI`  00010000`  41`  `  `  `  `  `  `  `
400`  CAFI`  00010000`  51`  `  `  `  `  `  `  `
400`  CAFI`  00011000`  01`  `  `  0000111900`  0000783400`  `  `  `
400`  CAFI`  00012000`  01`  `  `  0000123900`  0000783400`  `  `  `
400`  CAFI`  00020000`  01`  `  `  0000121900`  0000782100`  `  0000783100`  `
400`  CAFI`  00020000`  41`  `  `  `  `  `  `  `
400`  CAFI`  00020000`  51`  `  `  `  `  `  `  `
400`  CAFI`  00020000`  52`  `  `  `  `  `  `  `
400`  CAFI`  00020000`  53`  `  `  `  `  `  `  `
400`  CAFI`  00020000`  54`  `  `  `  `  `  `  `
400`  CAFI`  00020000`  55`  `  `  `  `  `  `  `
400`  CAFI`  00030000`  01`  `  `  0000122900`  0000782400`  `  `  `
400`  CAFI`  00030000`  41`  `  `  `  `  `  `  `
400`  CAFI`  00030000`  51`  `  `  `  `  `  `  `
400`  CAFI`  00030000`  52`  `  `  `  `  `  `  `
400`  CAFI`  00030000`  53`  `  `  `  `  `  `  `
400`  CAFI`  00030000`  54`  `  `  `  `  `  `  `
400`  CAFI`  00031000`  01`  `  `  0000124900`  0000781600`  `  `  `
400`  CAFI`  00032000`  01`  `  `  0000125001`  0000783500`  `  `  `
400`  CAFI`  00032500`  01`  `  `  0000125011`  0000783550`  `  `  `
400`  CAFI`  00040000`  01`  `  `  `  `  `  `  `
400`  CAFI`  00040000`  41`  `  `  `  `  `  `  `
400`  CAFI`  00040000`  51`  `  `  `  `  `  `  `
400`  CAFI`  00040000`  52`  `  `  `  `  `  `  `
400`  CAFI`  00040000`  53`  `  `  `  `  `  `  `
400`  CAFI`  00040000`  54`  `  `  `  `  `  `  `
400`  CAFI`  00050000`  01`  `  `  0000127900`  0000781300`  `  `  `
400`  CAFI`  00050000`  41`  `  `  `  `  `  `  `
400`  CAFI`  00050000`  51`  `  `  `  `  `  `  `
400`  CAFI`  00070000`  01`  `  `  0000101010`  0000781200`  `  `  `
400`  CAFI`  00071000`  01`  `  `  0000102001`  0000781250`  `  `  `
400`  CAFI`  00072000`  01`  `  `  0000102011`  0000781270`  `  `  `
400`  CAFI`  00073000`  01`  `  `  0000103900`  0000781400`  `  `  `
400`  CAFI`  00073100`  01`  `  `  0000104900`  0000781450`  `  `  `
400`  CAFI`  00074000`  01`  `  `  0000108100`  0000781550`  `  `  `
400`  CAFI`  00080000`  01`  `  `  0000107900`  0000781500`  `  `  `
400`  CAFI`  00082000`  01`  `  `  0000107900`  0000781500`  `  `  `
400`  CAFR`  00010000`  01`  `  `  0000281200`  0000681120`  0000781120`  0000681120`  `
400`  CAFR`  00010000`  51`  `  `  0000139110`  0000777000`  `  `  0000139110`  0000777000
400`  CAFR`  00020000`  01`  `  `  0000281850`  0000681120`  0000781120`  `  `
400`  CAFR`  00020000`  51`  `  `  0000139110`  0000777000`  `  `  0000139110`  0000777000
400`  CAFR`  00030000`  01`  `  `  0000281810`  0000681120`  0000781120`  0000681120`  `
400`  CAHU`  00010000`  01`  `  `  0000121000`  `  `  `  `
400`  CAHU`  00020000`  01`  `  `  0000139100`  0000551000`  `  0000551000`  `
400`  CAHU`  00030000`  01`  `  `  0000149100`  0000551000`  `  `  `
400`  CAHU`  00040000`  01`  `  `  0000151000`  `  `  `  `
400`  CAHU`  00050000`  01`  `  `  0000149500`  0000551000`  `  `  `
400`  CAJP`  00010000`  01`  `  `  0000221000`  0000827000`  `  `  `
400`  CAJP`  00011000`  01`  `  `  0000211900`  0000827010`  `  0000827010`  `
400`  CAJP`  00020000`  01`  `  `  0000213900`  0000827030`  `  0000827000`  `
400`  CAJP`  00030000`  01`  `  `  0000216900`  0000827050`  `  `  `
400`  CAJP`  00031000`  01`  `  `  0000215900`  0000827040`  `  `  `
400`  CAJP`  00040000`  01`  `  `  0000227000`  `  `  `  `
400`  CAJP`  00050000`  01`  `  `  0000228900`  0000827060`  `  0000827060`  `
400`  CAKR`  00002000`  01`  `  0054001210`  0016020200`  0054001200`  `  `  0016020200`  0054001210
400`  CAKR`  00010000`  01`  `  0054001200`  0016010100`  0054001200`  `  `  0016010100`  0054001200
400`  CAKR`  00013000`  01`  `  0054001210`  0016060200`  0054001200`  `  `  0016060200`  0054001210
400`  CAKR`  00020000`  01`  `  0054001210`  0016040200`  0054001200`  `  `  0016040200`  0054001210
400`  CAKR`  00030000`  01`  `  0054001210`  0016070200`  0054001200`  `  `  0016070200`  0054001210
400`  CAKR`  00040000`  01`  `  `  0016500000`  0054001200`  `  `  `
400`  CAKR`  KR020000`  01`  `  0054001210`  0016020200`  0054001200`  `  0054001200`  0016020200`  0054001210
400`  CAKR`  KR021000`  01`  `  0054001210`  0016020200`  0053000900`  `  0053000900`  0016020200`  0054001210
400`  CAKR`  KR030000`  01`  `  0054001210`  0016030200`  0054001200`  `  0054001200`  0016030200`  0054001210
400`  CAKR`  KR040000`  01`  `  0054001210`  0016040200`  0054001200`  `  0054001200`  0016040200`  0054001210
400`  CAKR`  KR050000`  01`  `  0054001210`  0016050200`  0054001200`  `  0054001200`  0016050200`  0054001210
400`  CAKR`  KR060000`  01`  `  0054001210`  0016060200`  0054001200`  `  0054001200`  0016060200`  0054001210
400`  CAKR`  KR070000`  01`  `  0054001210`  0016070200`  0054001200`  `  0054001200`  0016070200`  0054001210
400`  CAKR`  KR080000`  01`  `  0054001210`  0016080200`  0054001200`  `  0054001200`  0016080200`  0054001210
400`  CAKR`  KR090000`  01`  `  `  0016030200`  `  `  `  `
400`  CAKR`  KR100000`  01`  `  `  0017010200`  0053000900`  `  0053000900`  `
400`  CAKR`  KR110000`  01`  `  `  0017020200`  0053000900`  `  0053000900`  `
400`  CAKR`  KR120000`  01`  `  `  0017030200`  0053000900`  `  0053000900`  `
400`  CAKR`  KR130000`  01`  `  `  0017040200`  0053000900`  `  0053000900`  `
400`  CAKR`  KR140000`  01`  `  `  0017040200`  0053000900`  `  0053000900`  `
400`  CAKR`  KR150000`  01`  `  `  0017060200`  0053000900`  `  0053000900`  `
400`  CAKR`  KR160000`  01`  `  `  0017070200`  0053000900`  `  0053000900`  `
400`  CAKR`  KR170000`  01`  `  `  0017080200`  0053000900`  `  0053000900`  `
400`  CANA`  00010000`  01`  `  `  0000170000`  0000640000`  `  `  `
400`  CANA`  00011000`  01`  `  `  0000170010`  0000640010`  `  `  `
400`  CANA`  00020000`  01`  `  `  0000170020`  0000640020`  `  `  `
400`  CANA`  00030000`  01`  `  `  0000170040`  0000640040`  `  `  `
400`  CANA`  00031000`  01`  `  `  0000170030`  0000640030`  `  `  `
400`  CANA`  00032000`  01`  `  `  0000170060`  0000640060`  `  `  `
400`  CANA`  00050000`  01`  `  `  0000170200`  0000640200`  `  `  `
400`  CAPE`  00010000`  01`  `  `  3930000000`  6810000000`  `  `  `
400`  CAPE`  00011000`  01`  `  `  3930000000`  6810000000`  `  `  `
400`  CAPE`  00020000`  01`  `  `  3930000000`  6810000000`  `  `  `
400`  CAPE`  00030000`  01`  `  `  3930000000`  6810000000`  `  `  `
400`  CAPE`  00031000`  01`  `  `  3930000000`  6810000000`  `  `  `
400`  CAPE`  00032000`  01`  `  `  3930000000`  6810000000`  `  `  `
400`  CAPE`  00040000`  01`  `  `  3930000000`  6810000000`  `  `  `
400`  CAPL`  00011000`  01`  `  `  0000070010`  0000401100`  `  `  `
400`  CAPL`  PL10010`  01`  `  `  0000070010`  0000401100`  `  `  `
400`  CAPL`  PL10020`  01`  `  `  0000070020`  0000401100`  `  `  `
400`  CAPL`  PL10030`  01`  `  `  0000070030`  0000401100`  `  `  `
400`  CAPL`  PL10040`  01`  `  `  0000070040`  0000401100`  `  `  `
400`  CAPL`  PL10050`  01`  `  `  0000070050`  0000401100`  `  `  `
400`  CAPL`  PL10060`  01`  `  `  0000070060`  0000401100`  `  `  `
400`  CAPL`  PL10070`  01`  `  `  0000070070`  0000401100`  `  `  `
400`  CAPL`  PL10080`  01`  `  `  0000070080`  0000401100`  `  `  `
400`  CAPL`  PL20010`  01`  `  `  0000072010`  0000401300`  `  `  `
400`  CAPL`  PL20020`  01`  `  `  0000072020`  0000401300`  `  `  `
400`  CAPL`  PL20030`  01`  `  `  0000072030`  0000401300`  `  `  `
400`  CAPL`  PL20040`  01`  `  `  0000072040`  0000401300`  `  `  `
400`  CAPL`  PL20050`  01`  `  `  0000072050`  0000401300`  `  `  `
400`  CAPL`  PL20060`  01`  `  `  0000072060`  0000401300`  `  `  `
400`  CAPL`  PL20070`  01`  `  `  0000072070`  0000401300`  `  `  `
400`  CARS`  RS1030`  01`  `  `  0000109100`  0000515000`  `  `  `
400`  CARS`  RS1100`  01`  `  `  0000019100`  0000540000`  `  `  `
400`  CARS`  RS1102`  01`  `  `  0000019120`  0000540000`  `  `  `
400`  CARS`  RS1109`  01`  `  `  0000019190`  0000540000`  `  `  `
400`  CARS`  RS1200`  01`  `  `  0000019200`  0000540000`  `  `  `
400`  CARS`  RS1300`  01`  `  `  0000019300`  0000540000`  `  `  `
400`  CARS`  RS2200`  01`  `  `  0000029200`  0000540000`  `  `  `
400`  CARS`  RS2300`  01`  `  `  0000029300`  0000540000`  `  `  `
400`  CARS`  RS2301`  01`  `  `  0000029310`  0000540000`  `  `  `
400`  CARS`  RS2302`  01`  `  `  0000029320`  0000540000`  `  `  `
400`  CARS`  RS2303`  01`  `  `  0000029330`  0000540000`  `  `  `
400`  CARS`  RS2304`  01`  `  `  0000029340`  0000540000`  `  `  `
400`  CARS`  RS2307`  01`  `  `  0000029370`  0000540000`  `  `  `
400`  CARS`  RS2308`  01`  `  `  0000029380`  0000540000`  `  `  `
400`  CARS`  RS2600`  01`  `  `  `  `  `  `  `
400`  CARS`  RS2700`  01`  `  `  0000029700`  0000540000`  `  `  `
400`  CARU`  00010000`  01`  `  `  `  `  `  `  `
400`  CARU`  00011000`  01`  `  `  0002010000`  0034000100`  `  0034000100`  `
400`  CARU`  00011000`  09`  `  `  N0209000`  N3409000`  `  `  `
400`  CARU`  00011000`  10`  `  `  N0210000`  N3410000`  `  `  `
400`  CARU`  00011000`  11`  `  `  N0211000`  N3411000`  `  `  `
400`  CARU`  00011000`  12`  `  `  N0212000`  N3412000`  `  `  `
400`  CARU`  00020000`  01`  `  `  0002010000`  0034000100`  `  0034000100`  `
400`  CARU`  00020000`  09`  `  `  N0209000`  N3410000`  `  `  `
400`  CARU`  00020000`  10`  `  `  N0210000`  N3410000`  `  `  `
400`  CARU`  00020000`  11`  `  `  N0211000`  N3411000`  `  `  `
400`  CARU`  00020000`  12`  `  `  N0212000`  N3412000`  `  `  `
400`  CARU`  00030000`  01`  `  `  0002010000`  0034000100`  `  0034000100`  `
400`  CARU`  00030000`  09`  `  `  N0209000`  N3409000`  `  `  `
400`  CARU`  00030000`  10`  `  `  N0210000`  N3410000`  `  `  `
400`  CARU`  00030000`  11`  `  `  N0211000`  N3411000`  `  `  `
400`  CARU`  00030000`  12`  `  `  N0212000`  N3412000`  `  `  `
400`  CARU`  00031000`  01`  `  `  0002010000`  0034000100`  `  0034000100`  `
400`  CARU`  00031000`  09`  `  `  N0209000`  N3409000`  `  `  `
400`  CARU`  00031000`  10`  `  `  N0210000`  N3410000`  `  `  `
400`  CARU`  00031000`  11`  `  `  N0211000`  N3411000`  `  `  `
400`  CARU`  00031000`  12`  `  `  N0212000`  N3412000`  `  `  `
400`  CARU`  00032000`  01`  `  `  0002010000`  0034000100`  `  0034000100`  `
400`  CARU`  00032000`  09`  `  `  N0209000`  N3409000`  `  `  `
400`  CARU`  00032000`  10`  `  `  N0210000`  N3410000`  `  `  `
400`  CARU`  00032000`  11`  `  `  N0211000`  N3411000`  `  `  `
400`  CARU`  00032000`  12`  `  `  N0212000`  N3412000`  `  `  `
400`  CARU`  00050000`  01`  `  `  `  `  `  `  `
