MANDT [C(00006)]`VKORG [C(00008)]`VTWEG [C(00004)]`SPART [C(00004)]`KALVG [C(00004)]`KALKS [C(00004)]`KALSM [C(00012)]`KARTV [C(00008)]`KALNB [C(00012)]`KALBB [C(00012)]
400`  `  `  `  `  `  `  `  `
400`  1210`  10`  00`  Y1`  `  Y12101`  PPR0`  YA0001`
400`  1210`  10`  00`  Y1`  01`  Y12101`  PPR0`  YA0001`
400`  1210`  10`  00`  Y2`  `  A12004`  VTV1`  `
400`  1210`  10`  00`  Y2`  01`  A12004`  VTV1`  `
400`  1210`  10`  CO`  A`  `  A12002`  PPR0`  `
400`  1210`  10`  CO`  A`  01`  A12002`  PPR0`  `
400`  1210`  10`  CO`  AS`  `  A12010`  `  `
400`  1210`  10`  CO`  AS`  01`  A12010`  `  `
400`  1210`  10`  CO`  Y1`  `  Y12101`  PPR0`  YA0001`
400`  1210`  10`  CO`  Y1`  01`  Y12101`  PPR0`  YA0001`
400`  1210`  10`  CO`  Y2`  `  A12004`  VTV1`  `
400`  1210`  10`  CO`  Y2`  01`  A12004`  VTV1`  `
400`  1310`  10`  00`  A`  `  A13002`  PPR0`  `
400`  1310`  10`  00`  A`  01`  A13002`  PPR0`  `
400`  1310`  10`  00`  A`  1`  RVAA01`  PR00`  `
400`  1310`  10`  00`  AS`  `  A13010`  `  `
400`  1310`  10`  00`  AS`  01`  A13010`  `  `
400`  1310`  10`  00`  Y1`  `  Y13101`  PPR0`  YA0001`
400`  1310`  10`  00`  Y1`  01`  Y13101`  PPR0`  YA0001`
400`  1310`  10`  00`  Y2`  `  A13004`  VTV1`  `
400`  1310`  10`  00`  Y2`  01`  A13004`  VTV1`  `
400`  1310`  10`  CO`  A`  `  A13002`  PPR0`  `
400`  1310`  10`  CO`  A`  01`  A13002`  PPR0`  `
400`  1310`  10`  CO`  A`  1`  RVAA01`  PR00`  `
400`  1310`  10`  CO`  AS`  `  A13010`  `  `
400`  1310`  10`  CO`  AS`  01`  A13010`  `  `
400`  1310`  10`  CO`  Y1`  `  Y13101`  PPR0`  YA0001`
400`  1310`  10`  CO`  Y1`  01`  Y13101`  PPR0`  YA0001`
400`  1310`  10`  CO`  Y2`  `  A13004`  VTV1`  `
400`  1310`  10`  CO`  Y2`  01`  A13004`  VTV1`  `
400`  1410`  10`  00`  Y1`  `  A14X10`  PPR0`  `
400`  1410`  10`  00`  Y1`  01`  A14X10`  PPR0`  `
400`  1410`  10`  00`  Y2`  `  A14X10`  PPR0`  `
400`  1410`  10`  00`  Y2`  01`  A14X10`  PPR0`  `
400`  1410`  10`  CO`  Y1`  `  A14X10`  PPR0`  `
400`  1410`  10`  CO`  Y1`  01`  A14X10`  PPR0`  `
400`  1410`  10`  CO`  Y2`  `  A14X10`  PPR0`  `
400`  1410`  10`  CO`  Y2`  01`  A14X10`  PPR0`  `
400`  1510`  10`  00`  A`  `  A15002`  PPR0`  `
