TCODE [C(00040)]`PARAM [C(00508)]
/ACCGO/QREP_DTSTDB`  /*SM34 VCLDIR-VCLNAME=/ACCGO/VC_QR_DTST;UPDATE=X;
/ACCGO/REASON_CODE`  /*SM30 VIEWNAME=/ACCGO/V_STLRES;UPDATE=X;
/ACCGO/REL_TRADE_CUS`  /*SM30 UPDATE=X;VIEWNAME=/ACCGO/V_RLTYP;
/ACCGO/REVNUMRANGE`  /*SNUM TNRO-OBJECT=/ACCGO/DFW;
/ACCGO/RUL_CONFIG`  /*SM34 UPDATE=X;VCLDIR-VCLNAME=/ACCGO/VC_ARF;
/ACCGO/RUL_MAT_SEL`  /*SM34 UPDATE=X;VCLDIR-VCLNAME=/accgo/vc_matching_checks;
/ACCGO/RUL_MAT_SEL_D`  /*SM34 SHOW=X;VCLDIR-VCLNAME=/accgo/vc_matching_checks;
/ACCGO/RUL_STREAMS`  /*SM30 UPDATE=X;VIEWNAME=/accgo/v_streams;
/ACCGO/SFCNUMRANGE`  /*SNUM TNRO-OBJECT=/ACCGO/SFC;
/ACCGO/SPTNUMRANGE`  /*SNUM TNRO-OBJECT=/ACCGO/SPT;
/ACCGO/SRRVBD`  /*SM30 VIEWNAME=/ACCGO/V_SRRVBD;UPDATE=X;
/ACCGO/STLC`  /NSM30 VIEWNAME=/ACCGO/V_STLCUS;UPDATE=X;
/ACCGO/STLINVT`  /*SM30 VIEWNAME=/ACCGO/V_STLINVT;UPDATE=X;
/ACCGO/STLNUMRANGE`  /NSNUM TNRO-OBJECT=/ACCGO/STL;
/ACCGO/STLR`  /*SM30 VIEWNAME=/ACCGO/V_STLRES;UPDATE=X;
/ACCGO/STLSET`  /*SM30 VIEWNAME=/ACCGO/V_STLSET;UPDATE=X;
/ACCGO/STLTAB`  /*SM34 VCLDIR-VCLNAME=/ACCGO/VC_STLTAB;UPDATE=X;
/ACCGO/STL_RC`  /*SM30 VIEWNAME=/ACCGO/V_STLRC;UPDATE=X;
/ACCGO/STP_STL_RSN_C`  /*SM30 VIEWNAME=/ACCGO/V_RSN_CDE;UPDATE=X;
/ACCGO/SUBPROC`  /*SM30 UPDATE=X;VIEWNAME=/ACCGO/V_SUBPROC;
/ACCGO/THRESH`  /*SM30 VIEWNAME=/ACCGO/V_THRESH;UPDATE=X;
/ACCGO/TOLRTYP_MAINT`  /*SM30 VIEWNAME=/ACCGO/V_TLTYP;UPDATE=X;
/ACCGO/TSW_CUS`  /*SM30 VIEWNAME=/ACCGO/V_TSW_ID;UPDATE=X;
/ACCGO/T_LN_FILL`  /*SM30 SHOW=X;VIEWNAME=/ACCGO/V_LN_FIL;
/ACCGO/T_TAX_PAY`  /*SM30 SHOW=X;VIEWNAME=/ACCGO/T_TAX_PAY;
/ACCGO/UISNUMRANGE`  /*SNUM TNRO-OBJECT=/ACCGO/UIS;
