MANDT [C(00006)]`SPRAS [C(00002)]`AFAPL [C(00008)]`METSTU [C(00006)]`STUTXT [C(00100)]
400`  E`  0JP`  111`  Str.-line/prct ovr useful life 46-47 yrs  2.2000%
400`  E`  0JP`  112`  Str.-line/prct ovr useful life 48-49 yrs  2.1000%
400`  E`  0JP`  113`  Str.-line/prct ovr useful life 50-52 yrs  2.0000%
400`  E`  0JP`  114`  Str.-line/prct ovr useful life 53-55 yrs  1.9000%
400`  E`  0JP`  115`  Str.-line/prct ovr useful life 56-58 yrs  1.8000%
400`  E`  0JP`  116`  Str.-line/prct ovr useful life 59-62 yrs  1.7000%
400`  E`  0JP`  117`  Str.-line/prct ovr useful life 63-66 yrs  1.6000%
400`  E`  0JP`  118`  Str.-line/prct ovr useful life 67-70 yrs  1.5000%
400`  E`  0JP`  119`  Str.-line/prct ovr useful life 71-76 yrs  1.4000%
400`  E`  0JP`  120`  Str.-line/prct ovr useful life 77-80 yrs  1.3000%
400`  E`  0JP`  121`   0.0000%, replacement value
400`  E`  0JP`  125`   0.0000%, acquisition value
400`  E`  0JP`  128`  Japanese Straight-Line, Base Reduction G1
400`  E`  0JP`  129`  Japanese Straight-Line, Base Reduction 0%
400`  E`  0JP`  130`  Japanese Declining Balance Japanese
400`  E`  0JP`  131`  Japanese Straight-Line, Base Reduction -2006
400`  E`  0JP`  132`  Japanese Impairment, Declining Balance Japanese
400`  E`  0JP`  133`  Japanese Impairment, Straight-Line
400`  E`  0JP`  202`  Straight-Line/Percent using Useful Life, 50,0000%
400`  E`  0JP`  203`  Straight-Line/Percent using Useful Life, 33,4000%
400`  E`  0JP`  204`  Straight-Line/Percent using Useful Life, 25,0000%
400`  E`  0JP`  205`  Straight-Line/Percent using Useful Life, 20,0000%
400`  E`  0JP`  206`  Straight-Line/Percent using Useful Life, 16,7000%
400`  E`  0JP`  207`  Straight-Line/Percent using Useful Life, 14,3000%
400`  E`  0JP`  208`  Straight-Line/Percent using Useful Life, 12,5000%
400`  E`  0JP`  209`  Straight-Line/Percent using Useful Life, 11,2000%
400`  E`  0JP`  210`  Straight-Line/Percent using Useful Life, 10,0000%
