MANDT [C(00006)]`KTOKK [C(00008)]`FAUSA [C(00080)]`FAUSF [C(00080)]`FAUSM [C(00080)]`FAUS1 [C(00080)]`FAUSW [C(00080)]`FAUST [C(00080)]`FAUS2 [C(00080)]`FAUSU [C(00080)]`FAUSG [C(00080)]`FAUSN [C(00080)]`FAUSX [C(00080)]
400`  TMH1`  +-+------..--+--..............+......-..`  .............-..........................`  +...-...................-...............`  .........-----.-----.......-------------`  `  `  ....---............-----..---...........`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  VD00`  +.+..+.....--+................+.........`  -.......................................`  +........................-..............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  -.--...--.------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  W001`  +....+..................................`  +-.+..+.................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  W002`  +....+..................................`  +-.+..+.................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  W003`  +....+..................................`  +-.+..+.................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  X000`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  X001`  +....+..................................`  +-.+..+.................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  X002`  +....+..................................`  +-.+..+.................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  X003`  +....+..................................`  +-.+..+.................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  XCPD`  .................+......................`  +.......................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  Y004`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  Z001`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  Z002`  +.............................+........-`  +............-..........................`  +........................-..............`  .......................-....-------.....`  ........................................`  ........................................`  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  Z003`  ...........................-............`  ........................................`  ......................-.................`  ....................-------.-------....-`  ---------.-----------.--......-.--....-.`  ---------.------..---..-......-.--....-.`  ....................--------............`  ----------------------------------------`  .......---------------------------------`  ..-.....--------------------------------`  ----------------------------------------
400`  Z007`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  Z008`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  ZA01`  +.......................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  ZA02`  +.......................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  ZA10`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  ZA11`  +......................+................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  ZA99`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  ZB11`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  ZCX1`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  ZD01`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  ZD02`  +.+........--.................+.........`  .............-..........................`  ....-...................--..............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  -..-..-.--------------------------------
400`  ZD03`  +.+........--.................+.........`  .............-..........................`  ....-...................--..............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  -..-..-.--------------------------------
400`  ZD04`  +.+........--.................+.........`  .............-..........................`  ....-...................--..............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  -..-..-.--------------------------------
400`  ZDV1`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  ZFV1`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  ZG01`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  ZOV1`  +-+.---------.----------------.-----.---`  +-..-.....--.-------.-.-.-.-------..---.`  +......................---.--...........`  ----------------------------------------`  `  `  ...................---------............`  ----------------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  ----------------------------------------
400`  ZSAV`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  ZV01`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  ZV02`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  ZVH1`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  ZW01`  +.+........--+................+.........`  .............-..........................`  +...-...................-...............`  ............................-------.....`  ....-...................................`  ....-...................................`  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  ZYCQ`  +-+.---------.----------------.-----.---`  +-..-.....--.-------.-.-.-.-------..---.`  +......................---.--...........`  ----------------------------------------`  ---------.-----------.--......-.--....-.`  ---------.------..---..-......-.--....-.`  ...................---------............`  ----------------------------------------`  ----.-----------------------------------`  ..-.....--------------------------------`  ----------------------------------------
400`  ZZ30`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  ZZMV`  ........................................`  ........................................`  ........................................`  ........................................`  `  `  ........................................`  `  ........................................`  ........................................`
400`  ZZSY`  +-+------..--+--..............+......-..`  .............-....---------.......--...-`  +...-...................*...............`  .........-----.-----.......-------------`  `  `  ....---............-----..---...........`  -.--..-.--------------------------------`  -----..---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
400`  ZZX1`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  ZZX2`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................`  ........................................
400`  ZZZ1`  +.+........--+................+.........`  ........**...-...............*..........`  +...-...................-...............`  ............................-------.....`  `  `  ........................................`  -.--..-.--------------------------------`  ----...---------------------------------`  ..-.....-------.------------------------`  -..-..-.--------------------------------
