AUART [C(00008)]`BEZOB [C(00002)]`CMGRA [C(00004)]`KLIMP [C(00002)]`MANDT [C(00006)]`VBTYP [C(00002)]
GQT`  `  `  `  400`  B
GRE`  `  `  `  400`  H
GVC`  `  `  `  400`  G
HBIN`  `  01`  D`  400`  A
HBOR`  `  `  `  400`  C
HBQT`  `  `  `  400`  B
ICPL`  `  01`  D`  400`  A
J3G1`  `  `  `  400`  C
J3G2`  `  `  `  400`  C
J3G6`  `  `  `  400`  C
J3G7`  `  `  `  400`  K
J3G8`  `  `  `  400`  C
J3G9`  `  `  `  400`  K
J3GB`  `  `  `  400`  K
J3GC`  `  `  `  400`  K
JBCD`  `  `  `  400`  K
JBDM`  `  `  `  400`  L
JGL`  `  `  `  400`  K
JLL`  `  `  `  400`  L
JOR`  `  `  `  400`  C
JPCD`  `  `  `  400`  K
JPCM`  `  `  `  400`  K
JPDD`  `  `  `  400`  L
JPDM`  `  `  `  400`  L
JRE`  `  `  `  400`  H
JREW`  `  `  `  400`  H
JSDC`  `  `  `  400`  K
JSDD`  `  `  `  400`  L
JSDQ`  `  01`  D`  400`  G
JSMC`  `  `  `  400`  K
JST1`  `  `  `  400`  C
KA`  `  01`  D`  400`  C
KAN2`  E`  01`  D`  400`  C
KAZU`  E`  01`  D`  400`  C
KB`  `  01`  D`  400`  C
KBN1`  `  `  `  400`  E
KE`  `  `  `  400`  C
KEN3`  E`  `  `  400`  C
KL`  `  `  `  400`  I
KM`  `  01`  D`  400`  G
KN`  C`  `  `  400`  I
KOE1`  `  01`  D`  400`  C
KOE2`  `  `  `  400`  L
KOE3`  `  `  `  400`  I
KOE4`  C`  `  `  400`  I
KOE5`  `  `  `  400`  E
KOE6`  `  `  `  400`  K
KORE`  `  `  `  400`  H
KR`  `  `  `  400`  H
KRN4`  `  `  `  400`  H
KRZU`  E`  `  `  400`  H
L2`  `  `  `  400`  L
L2DM`  `  `  `  400`  L
L2DP`  `  `  `  400`  L
L2W`  `  `  `  400`  L
L2WT`  `  `  `  400`  L
LA`  `  `  `  400`  C
LALV`  C`  `  `  400`  L
LDPI`  `  `  `  400`  L
LK`  `  `  `  400`  F
LN`  `  `  `  400`  C
LP`  `  01`  D`  400`  E
LV`  `  `  `  400`  L
LXE`  `  `  `  400`  E
LXI`  `  `  `  400`  E
LZ`  `  `  `  400`  E
LZER`  `  `  `  400`  E
LZJ`  `  `  `  400`  E
LZJE`  `  `  `  400`  F
LZJQ`  `  `  `  400`  E
LZM`  `  `  `  400`  E
LZS`  `  `  `  400`  E
