NAME [C(00080)]`OBJECT [C(00008)]`OBJ_NAME [C(00080)]
49768AEED346940EBBF79F05DF22C1`  IWSV`  MMIM_GR4PO_IND_SLIP_GLO_GEN_SRV    0001
4A0DEE113B070E841C4AD37387BCA5`  IWSV`  MM_SES_APPROVE                     0001
4ABB3F05236395B2EB2E07E4E6569D`  IWSV`  MDC_TRACK_CHANGES_SRV__147         0001
4BE6D1FC3D0E99D09A412C6FA4DF17`  IWSV`  JITOUTBDELIVFORSEQCALLS_SRV        0001
4D3594BBF0B252E2A8C9B90AD62C6E`  IWSV`  MPE_MANAGE_EBOM_SRV                0001
4DB31FA53F71FB6DFBD3E5978DFB0D`  IWSV`  MM_PUR_ORG_CMP                     0001
4E3CC9CA3CEC1DA8A8DF4C5CCA91A3`  IWSV`  MM_PUR_SCHEDG_AGRMT_SRV
4F243A2A2D7396864D0850E8758871`  IWSV`  MMIM_STO_SRV                       0001
4F2949BC438A9A76EF3A684DCE4094`  IWSV`  MM_PUR_POITEMACCT_MNTR_SRV         0001
4F70D41D1278A71913A8AC572CB43F`  IWSV`  MMPUR_PROC_CAT_MAINT_SRV           0001
4F93A7C6B549B39E4BD43CB6BFC676`  IWSV`  MPEACTIONREASONCODE_SRV            0001
509B6C31FF44A031E1FF8FC6D95BEA`  IWSV`  MPE_OA_EXECUTION_SRV               0001
51E792D8BAAB1D0B18BC9A17A47390`  IWSV`  MDG_CR_FIN_OVP_SRV                 0001
527B38822A100654CE936777141B7A`  IWSV`  MD_PRODUCT_OP_SRV                  0001
5288952A5AE8A84EC8E3682DE97E8C`  IWSV`  MPE_EXEC_OAI_WRK_ASSGMT_SRV        0001
52CF0300555116311471C7A69D52A8`  IWSV`  ISU_BI_PROC_BILLG_ORD_SRV          0001
5359F8B6E24E376CE568C955328DE9`  IWSV`  MAINTAIN_RESOURCE_SRV              0001
540380677652ADA32524249F66A049`  IWSV`  LE_SHP_DELIVERY_LOG                0001
54128DAFE40C03608D4BE0CBB60769`  IWSV`  JITSUPPLYCNTRL_SRV                 0001
54B9BD5BC4B03C1642A8B77EB2843F`  IWSV`  LE_SHP_QC_DLVREF_SRV               0001
54EEEFC4EE83E2F6CD2755041B3585`  IWSV`  LO_SERIAL_NUMBER_DOCUMENT_SRV      0001
552C1B42DFC973FE29AEF7EDCE7681`  IWSV`  ISU_MD_BLKD_CONTR_REL              0001
5576D4011E394CCE4ACE8814945CCF`  IWSV`  MMIM_MATERIAL_DATA_SRV             0001
574CB61CD9D0BE37E38585A7310CF0`  IWSV`  MPE_PERSONAL_WORK_QUEUE_SRV        0001
57818AC5D611F51E538E87CB2DFA0E`  IWSV`  MPE_CREATE_PROJECT_ODATA_SRV       0001
57D1BA9AE7C8B6091FFCA34FD74676`  IWSV`  MPE_ACTION_LOG_SRV                 0001
57EB04967E6973C2DBFFE2E28DDC2B`  IWSV`  MM_PUR_REQ_CHECK_SRV               0001
58D721250908197EC1C64625C28D69`  IWSV`  MM_PUR_REQ_MAINTAIN_SRV            0001
59A8952BB83B2FC049BCB49644A035`  IWSV`  LE_SHP_OD_LIST_SRV                 0001
59D4961F134A15B9F6F1F216EAE3CC`  IWSV`  I_SADL4_DRAFTROOTCORE000WD_CDS     0001
5A0E6FA11F193941756597203964A7`  IWSV`  MM_IM_PHYS_INV_DOC_SRV             0001
5B06F94611E871F454FE8B3711AE73`  IWSV`  I_ARPOSTGRULECNDNOPTIONVH_CDS      0001
5C1978B90BE9505B8D7168F237C724`  IWSV`  MM_SOURCES_OF_SUPPLY_MANAGE_SRV    0001
5CA4E7C56479F05FF72CE3F45B6F65`  IWSV`  MDC_TRACK_CHANGES_SRV__1405        0001
5CBE3BD0CB90856C9EFB0D0D5F0AC6`  IWSV`  MDC_TRACK_CHANGES_SRV__194         0001
5E8114E0B06433C858273BAA27CC12`  IWSV`  MM_PUR_REQ_BE_HISTORY_SRV          0001
5ECEE52B4C75F384B73589A0BAC33D`  IWSV`  MPE_MATERIAL_POVER                 0001
61E403B14D1D9E9033D360FE37C5ED`  IWSV`  MDG_CR_FIN_ALP_SRV                 0001
621429BC48ED70EE9EF40093BDE77C`  IWSV`  I_ARPOSTGRULECNDNATTRIBVH_CDS      0001
6331E3DD4F88F2643150BC90BF02C0`  IWSV`  MPEACTIONSETTING_SRV               0001
6414F8EFEE00443E419F5EE14B7CDE`  IWSV`  HRMSS_OTHER_APPROVALS_SERVICE      0001
6419636396E69D28D3C3C4B17BA338`  IWSV`  MDG_MDPROC_PROD_OVP_SRV            0001
65E444AD9D345CEAD54229A54C4AD8`  IWSV`  ISU_MR_PERDC_OVP                   0001
670A122476DE10E25C649686DF042D`  IWSV`  MMPUR_SL_MAINTAIN_SRV              0001
67A1133643BBE3ADDFE3444964C0E9`  IWSV`  MD_PRODUCT_FS_SRV                  0001
69293C064C603BE60A9542A8CA2D54`  IWSV`  MPE_BUYOFFTEMPLATE_SRV             0001
6940F4B5C49AD3B57E714A3A074A1A`  IWSV`  MDC_CUSTOMIZING_SRV                0001
6B4BDDD0CE5218987C382737F1307B`  IWSV`  LO_SETMAN_SDOC_WRKFLW              0001
6B6511DABA869E32C5A1C28B1E6CB0`  IWSV`  MDIF_UPLOAD_SRV                    0001
6BCE423037B23FE9EEDA9C06541A99`  IWSV`  MM_PUR_SUBCONTRACTING_COCKPIT_SRV  0001
6BD09DA4CE75B941B0D8F725FC070F`  IWSV`  MPE_PLAN_WI_EMB_SRV                0001
6C65B2D81DA55712E759549298EBA3`  IWSV`  ISU_BI_OPN_OVP_SRV                 0001
6CE8FBA46284D8AD0F2D8828B60838`  IWSV`  MM_PUR_SRCGPROJ_MAINTAIN_SRV       0001
6DB0C206DA2F2656511A469A0367C7`  IWSV`  I_AIVS_AI_REPORT_TYPE_TP_CDS       0001
6E3A7F86014EF21CD0F46FA89D6746`  IWSV`  MDC_PROC_BP_ALP_SRV                0001
6EB03214EE84DC65106D65D558EB31`  IWSV`  MM_PUR_MATL_PRC_CMPRSN_SRV         0001
6F7DB2532E6170C9E20D90147D3CA1`  IWSV`  MANAGE_PAYMENT_FORMAT_SRV          0001
6FB593040ED938C0A70A8CAD8E8EA8`  IWSV`  LO_SERIAL_NUMBER_DOCUMENT_SRV_01   0001
70332B14C954D5F164C6C450B55CD5`  IWSV`  MPE_MNGPRODOPERATOR_SRV            0001
70498BFD2C48BEDC4AD4D6588CCDFA`  IWSV`  ICL_WLM_TEAM_CALENDAR_SRV          0001
70CD655A8140B5D3EA7C09ED6A0B0E`  IWSV`  MDG_EDIT_CUSTOMER                  0001
71B9EB528594C399318F1BFAAFE1FA`  IWSV`  MM_PUR_OA_MAINTAIN_SRV             0001
73544A74C7FFFAC03C957B54B7A348`  IWSV`  MMIM_STKQTYVALTIMESERIES_SRV       0001
75485C7F412E5E3541B1E30BD296BA`  IWSV`  JIT_STOCK_AVAILABILITY_ANLYS_SRV   0001
75FA12F098D2DECC1ECE8D49958FC9`  IWSV`  MM_SUPPLIER_INV_SITUATION_PAGE_SRV 0001
77FC9432A89CBFF74169D9196257F1`  IWSV`  LE_SHP_DELIVERY_PICK               0001
79C2A4EBD5E9A8D9097D82E3FFFB32`  IWSV`  ISU_BI_OUTSRTD_RESOLVE             0001
79DCADE3F2A91ABD3F04F79AB88D16`  IWSV`  JITCONTROLCYCLES_SRV               0001
7A6CA7C2915D0E3C0C18B85EFE844C`  IWSV`  MM_PUR_INFO_RECORDS_MANAGE_SRV     0001
7ACA52388509A5634DE106B49D0F91`  IWSV`  MPE_MONITRSFMASTER_SRV             0001
7AD2A6F6EB7F195FECF7B5D780D6B5`  IWSV`  HP_HIERARCHY_SRV                   0001
7AD3702CE62023055E927DB542E810`  IWSV`  MM_PUR_MAT_PROPOSE_CTR_SRV         0001
7B0051EB4FA3F7B13F5A45EEEB6E09`  IWSV`  MMIVUNPLDELCST                     0001
7B495CF3A5C686A7ED80716F46AEE5`  IWSV`  MPE_PLAN_RTG_WF_INBOX_SRV          0001
7C9331B902B9B24633BCD6BEE2AEFA`  IWSV`  LCM_CONTEXT_MANAGE_SRV             0001
7CC8F60FABAA7EFE912F13DA8BBE13`  IWSV`  ISU_PS_BILL_SIM_SRV                0001
7D27BF68EC731A5C1E55098400D5D1`  IWSV`  MM_SSP_RET_DELIVERY_SRV            0001
7D69BC2A860A1FE3AE9AA1DCED8564`  IWSV`  MPE_EXEC_RR_SRV                    0001
7D964464DD0A82EAFFED6F51524667`  IWSV`  LCM_OVP                            0001
