PATCH [C(00040)]`SHORT_TEXT [C(00120)]`STATUS [C(00002)]`IMPLE_DATE [D(00016)]`L_IMPL_REL [C(00008)]`DELIV_DATE [D(00016)]`IMPLE_TIME [T(00012)]`COMP_REL [C(00020)]`COMPONENT [C(00060)]
SAPK-60006INLSOFE`  LSOFE 600: patch 0006`  I`  20060920`  700`  200`  161550`  600`  LSOFE
SAPK-60006INSRA004`  SRA004 600: Support Package 0006`  I`  20160627`  751`  20141216`  105111`  600`  SRA004
SAPK-60007INERECRUIT`  ERECRUIT 600: patch 0007`  I`  20070917`  700`  20061201`  110104`  600`  ERECRUIT
SAPK-75CBHINSAPABA`  SAP_ABA 75C Update: Meta-Commandfile`  I`  20170529`  752`  20170505`  075821`  75C`  SAP_ABA
SAPK-60007INFICAX`  SP 07 for FI-CAX 6.00`  I`  20070917`  700`  20061115`  104814`  `
SAPK-60007ININSURANC`  SP 07 for INSURANCE 6.00`  I`  20070917`  700`  20061111`  104555`  `
SAPK-60007INISH`  SP 07 for IS-H 6.00`  I`  20070917`  700`  20061111`  102757`  `
SAPK-60007INISM`  SP 07 for IS-M 6.00`  I`  20070917`  700`  20061111`  095806`  `
SAPK-60007INISOIL`  SP 07 for IS-OIL 6.00`  I`  20070914`  700`  20061111`  151055`  `
SAPK-60007INISPSCA`  SP 07 for IS-PS-CA 6.00`  I`  20070914`  700`  20061111`  114056`  `
SAPK-60007INISUT`  SP 07 for IS-UT 6.00`  I`  20070914`  700`  20061111`  110918`  `
SAPK-60007INLSOFE`  LSOFE 600: patch 0007`  I`  20070914`  700`  20061106`  082336`  600`  LSOFE
SAPK-60007INSRA004`  SRA004 600: Support Package 0007`  I`  20160627`  751`  201`  105112`  600`  SRA004
SAPK-60008INERECRUIT`  ERECRUIT 600: patch 0008`  I`  20070917`  700`  20070131`  110105`  600`  ERECRUIT
SAPK-802BHINISPSCA`  IS-PS-CA 802 Update: Meta-Commandfile`  I`  20170529`  752`  20170524`  075821`  802`  IS-PS-CA
SAPK-60008INFICAX`  SP 08 for FI-CAX 6.00`  I`  20070917`  700`  20070205`  104815`  `
SAPK-60008ININSURANC`  SP 08 for INSURANCE 6.00`  I`  20070917`  700`  20070202`  104556`  `
SAPK-60008INISH`  SP 08 for IS-H 6.00`  I`  20070917`  700`  20070202`  102758`  `
SAPK-60008INISM`  SP 08 for IS-M 6.00`  I`  20070917`  700`  20070205`  095807`  `
SAPK-60008INISOIL`  SP 08 for IS-OIL 6.00`  I`  20070914`  700`  20070202`  151056`  `
SAPK-60008INISPSCA`  SP 08 for IS-PS-CA 6.00`  I`  20070914`  700`  20070202`  114057`  `
SAPK-60008INISUT`  SP 08 for IS-UT 6.00`  I`  20070914`  700`  20070202`  110919`  `
SAPK-60008INLSOFE`  LSOFE 600: patch 0008`  I`  20070914`  700`  20070130`  082337`  600`  LSOFE
SAPK-60008INSRA004`  SRA004 600: Support Package 0008`  I`  20160627`  751`  201`  105113`  600`  SRA004
SAPK-60009INERECRUIT`  ERECRUIT 600: patch 0009`  I`  20070917`  700`  20070427`  110106`  600`  ERECRUIT
SAPK-802BHINMDGUX`  MDG_UX 802 Update: Meta-Commandfile`  I`  20170529`  752`  20170524`  075821`  802`  MDG_UX
SAPK-60009INFICAX`  SP 09 for FI-CAX 6.00`  I`  20070917`  700`  20070424`  104816`  `
SAPK-60009ININSURANC`  SP 09 for INSURANCE 6.00`  I`  20070917`  700`  20070423`  104557`  `
SAPK-60009INISH`  SP 09 for IS-H 6.00`  I`  20070917`  700`  20070423`  102759`  `
SAPK-60009INISM`  SP 09 for IS-M 6.00`  I`  20070917`  700`  20070423`  095808`  `
SAPK-60009INISOIL`  SP 09 for IS-OIL 6.00`  I`  20070914`  700`  20070425`  151057`  `
