UserId [C(00030)]`Date [D(00016)]`Time [T(00012)]`ChangedBy [C(00024)]`Action [C(00100)]`OldContentsOfChangedField [C(00150)]`NewContentsOfChangedField [C(00150)]`TCode [C(00030)]
SAP562|12/02/2020|15:57:40|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP562|12/02/2020|15:57:40|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |01/02/2021                                                                                                                                                                                                                                                   |              |SU01```````
SAP563|12/02/2020|21:26:16|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP563|12/02/2020|21:26:16|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP564|12/02/2020|23:35:42|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP564|12/02/2020|23:35:42|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP564|12/03/2020|00:03:50|SAP564|锁定已更改      |                                                                                                                                                                                                                                                            0|未锁定        |                                                                                                                                                                                                                                                          128|错误的登录锁定|KRNL```````
SAP564|12/03/2020|00:05:03|SAP   |锁定已更改      |                                                                                                                                                                                                                                                          128|错误的登录锁定|                                                                                                                                                                                                                                                            0|未锁定        |SU01```````
SAP565|12/03/2020|09:13:26|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP565|12/03/2020|09:13:26|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP565|12/03/2020|09:13:26|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/13/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP566|12/03/2020|10:46:20|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP566|12/03/2020|10:46:20|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP566|12/03/2020|10:46:20|SAP   |有效期至：已更改|00/00/0000                                                                                                                                                                                                                                                   |              |12/13/2020                                                                                                                                                                                                                                                   |              |SU01```````
SAP567|12/03/2020|11:04:46|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP567|12/03/2020|11:04:46|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP568|12/03/2020|12:25:28|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP568|12/03/2020|12:25:28|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP569|12/03/2020|14:18:03|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP569|12/03/2020|14:18:03|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP570|12/03/2020|15:54:42|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP570|12/03/2020|15:54:42|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP571|12/03/2020|15:54:55|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP571|12/03/2020|15:54:55|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP572|12/03/2020|15:55:52|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP572|12/03/2020|15:55:52|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
SAP573|12/03/2020|15:56:09|SAP   |用户已创建      |                                                                                                                                                                                                                                                             |              |                                                                                                                                                                                                                                                             |              |SU01```````
SAP573|12/03/2020|15:56:09|SAP   |初始用户类型    |                                                                                                                                                                                                                                                             |              |A                                                                                                                                                                                                                                                            |对话用户      |SU01```````
