MANDT [C(00006)]`FLREF [C(00040)]`FAUS1 [C(00140)]`FAUS2 [C(00140)]`FAUS3 [C(00140)]`BSTYP [C(00002)]
400`  PT5B`  .....-......................................................+.......+.`  ......-.............+................................................B`  ......................................................................`  B
400`  PT5F`  .....-...........................................+.+.+......+.......+.`  ......-.............+..................................-.............F`  ......................................................................`  F
400`  PT5L`  .....-...........................................+.+.+......+.......+.`  ......-.............+..................................-.............L`  ............................................**........................`  L
400`  PT6A`  .......................................................-............+.`  ....................+................................................A`  ......................................................................`  A
400`  PT6F`  ..---.-..........................................-.-.-.-....--------+.`  -.-..----.-.--......+..------..........-..........--.................F`  ......................................................................`  F
400`  PT6K`  ..---.-..........................................-.-.+......--------+.`  ..-..----....-......+..------..........-..........--.................K`  ........-----------------...................--........................`  K
400`  PT6L`  ..---.-..........................................---.-.-....--------+.`  ..-..----.-.--......+..------..........-..........--.................L`  ............................................**........................`  L
400`  PT7B`  ...-..................+................--...................+.....-.+.`  ......-.............+..................--............................B`  ......................................................................`  B
400`  PT7F`  .....................-........................-..+.+.+-.....-..-...-+.`  -.-...-.-.-............-.----..........--....-.........*.............F`  ......................................................................`  F
400`  PT7L`  .....................-........................-..+.+.+-.....-..-...-+.`  -.-..--.-.-..-.........-.----..........--....-.........*.............L`  ............................................--........................`  L
400`  PT8K`  ...-..............................................---....-..--------+.`  ..-...---.-.--....--.....----..........-..........-..................K`  ............................................--........................`  K
400`  PT9A`  ...-.............................................***........*.......+.`  -.......-...........+....*.............................-..*..........A`  ......................................................................`  A
400`  PT9B`  ...-..*.........................................**.*.+......*-------+.`  ......-.-...........+..----............--................-...........B`  ......................................................................`  B
400`  PT9F`  ...-..*..........................................*.*.+......*.....-.+.`  -....----.-..-...-..+...-*..............*...--.-..--...-.--..........F`  ......................................................................`  F
400`  PT9K`  ...-.-...........................................***.+......*...**-.+.`  ......---.-.-.......+....**............**...--.-..--......-..........K`  ........-----------------...................--........................`  K
400`  PTAB`  +..-.*.-.-...........--.........................**.*.*......*.-.....+.`  ..-...-.....-....................*.........-.............-...--......B`  ......................................................................`  B
400`  PTAF`  +.....+..........................................-.-.+..............+.`  .........................*.........*...................-.............F`  .................................................---------............`  F
400`  PTCB`  ++....-.................................+........+.+.+......*-------..`  ......-.-..............----......*.....-.............................B`  ......................................................................`  B
400`  PTCF`  ...-..-..........................................+.+.+......--------+.`  *.....-...-.........+..-----...........-...............-.............F`  ......................................................................`  F
400`  PTPB`  ++....-..........................................+.+.+......*.-...-...`  ......-..........................*.....-.............................B`  ......................................................................`  B
400`  PTPF`  ...-..-..........................................+.+.+......        +.`  -.....-...-.........+..     ...........-...............-.............F`  ......................................................................`  F
400`  RVB`  ...-.................-...-......+.......-..+.....+.+.-....+...........`  .....................................................................B`  ......................................................................`  B
400`  S4PR`  ***.**..*************.***.*************..*****************************`  **.******************************************************************`  **********************************************************************`  B
400`  UB`  .*......------....-.-.*...-.................-...............-.......*.`  ....................*....-..............................-............F`  ......................................................................`  F
400`  UBF`  .*......------....-.-.*...-.................-...............-.......*.`  ....................*....-..............................-............F`  ......................................................................`  F
400`  UBF2`  .........-.-......-.-.*...-.................-.......................*.`  ....................*.........+.................+....................F`  ......................................................................`  F
400`  UP1A`  ************************.************************-.*********.*********`  *********************************************************************A`  **********************************************************************`  A
