MANDT [C(00006)]`KTOPL [C(00008)]`KTOSL [C(00006)]`BWMOD [C(00008)]`KOMOK [C(00006)]`BKLAS [C(00008)]`KONTS [C(00020)]`KONTH [C(00020)]
400`  CASK`  FRL`  0001`  `  `  `
400`  CASK`  FRN`  0001`  `  `  `
400`  CATW`  FRL`  0001`  `  `  `
400`  CATW`  FRN`  0001`  `  `  `
400`  CATW`  WRY`  0001`  `  `  `
400`  CATW`  EIN`  0001`  `  3031`  `
400`  CATW`  EIN`  0001`  `  3040`  `
400`  CATW`  EIN`  0001`  `  3050`  `
400`  CATW`  EIN`  0001`  `  3100`  `
400`  CATW`  EKG`  0001`  `  3000`  `
400`  CATW`  EKG`  0001`  `  3001`  `
400`  CATW`  EKG`  0001`  `  3030`  `
400`  CATW`  EKG`  0001`  `  3031`  `
400`  CATW`  EKG`  0001`  `  3040`  `
400`  CATW`  EKG`  0001`  `  3050`  `
400`  CATW`  EKG`  0001`  `  3100`  `
400`  CATW`  UMB`  0001`  `  7900`  `  0072210000
400`  CATW`  UMB`  0001`  `  7920`  `  0072210000
400`  CAUA`  BSX`  0001`  `  0710`  0015103000`  0015103000
400`  CAUA`  BSX`  0001`  `  0720`  0015104000`  0015104000
400`  CAUA`  BSX`  0001`  `  3040`  0020700000`  0020700000
400`  CAUA`  BSX`  0001`  `  7920`  0026000000`  0026000000
400`  GKR`  EIN`  0001`  `  3000`  `
400`  GKR`  EIN`  0001`  `  3001`  `
400`  GKR`  EIN`  0001`  `  3030`  `
400`  GKR`  EIN`  0001`  `  3031`  `
400`  GKR`  EIN`  0001`  `  3040`  `
400`  GKR`  EIN`  0001`  `  3050`  `
400`  GKR`  EIN`  0001`  `  3100`  `
400`  GKR`  EKG`  0001`  `  3000`  `
400`  GKR`  EKG`  0001`  `  3001`  `
400`  GKR`  EKG`  0001`  `  3030`  `
400`  GKR`  EKG`  0001`  `  3031`  `
400`  GKR`  EKG`  0001`  `  3040`  `
400`  GKR`  EKG`  0001`  `  3050`  `
400`  GKR`  EKG`  0001`  `  3100`  `
400`  IKR`  EIN`  0001`  `  3000`  `
400`  IKR`  EIN`  0001`  `  3001`  `
400`  IKR`  EIN`  0001`  `  3030`  `
400`  IKR`  EIN`  0001`  `  3031`  `
400`  IKR`  EIN`  0001`  `  3040`  `
400`  IKR`  EIN`  0001`  `  3050`  `
400`  IKR`  EIN`  0001`  `  3100`  `
400`  IKR`  EKG`  0001`  `  3000`  `
400`  IKR`  EKG`  0001`  `  3001`  `
400`  IKR`  EKG`  0001`  `  3030`  `
400`  IKR`  EKG`  0001`  `  3031`  `
400`  IKR`  EKG`  0001`  `  3040`  `
400`  IKR`  EKG`  0001`  `  3050`  `
400`  IKR`  EKG`  0001`  `  3100`  `
400`  INT`  BSX`  0001`  `  3030`  0000303000`  0000303000
400`  INT`  BSX`  0001`  `  3040`  0000304000`  0000304000
400`  `  AUM`  0001`  `  3000`  0000068440`  0000087040
400`  `  AUM`  0001`  `  3001`  0000068440`  0000087040
400`  `  AUM`  0001`  `  3030`  0000068440`  0000087040
400`  `  AUM`  0001`  `  3031`  0000068440`  0000087040
400`  `  AUM`  0001`  `  3040`  0000068440`  0000087040
400`  `  AUM`  0001`  `  3050`  0000068440`  0000087040
400`  `  AUM`  0001`  `  3100`  0000068440`  0000087040
400`  `  AUM`  0001`  `  7900`  0000068440`  0000087040
400`  `  AUM`  0001`  `  7920`  0000068440`  0000087040
400`  `  BSX`  0001`  `  3000`  0000012100`  0000012100
400`  `  BSX`  0001`  `  3030`  0000012300`  0000012300
400`  `  BSX`  0001`  `  3031`  0000012310`  0000012310
400`  `  BSX`  0001`  `  3040`  0000012330`  0000012330
400`  `  BSX`  0001`  `  3050`  0000012320`  0000012320
400`  `  BSX`  0001`  `  3100`  0000012200`  0000012200
400`  `  BSX`  0001`  `  7900`  0000012220`  0000012220
400`  `  BSX`  0001`  `  7920`  0000012200`  0000012200
400`  CABE`  BSX`  0001`  `  3000`  0000300000`  0000300000
400`  CABE`  BSX`  0001`  `  3001`  0000301010`  0000301010
400`  CABE`  BSX`  0001`  `  3030`  0000310000`  0000310000
400`  CABE`  BSX`  0001`  `  3040`  0000310010`  0000310010
400`  CABE`  BSX`  0001`  `  3050`  0000301010`  0000301010
400`  CABE`  BSX`  0001`  `  3100`  0000340000`  0000340000
400`  CABE`  BSX`  0001`  `  3300`  0000300999`  0000300999
400`  CABE`  BSX`  0001`  `  7900`  0000320000`  0000320000
400`  CABE`  BSX`  0001`  `  7920`  0000330000`  0000330000
400`  CACH`  AUM`  0001`  `  3000`  0000068440`  0000068940
400`  CACH`  AUM`  0001`  `  3001`  0000068440`  0000068940
400`  CACH`  AUM`  0001`  `  3030`  0000068440`  0000068940
400`  CACH`  AUM`  0001`  `  3031`  0000068440`  0000068940
400`  CACH`  AUM`  0001`  `  3040`  0000068440`  0000068940
400`  CACH`  AUM`  0001`  `  3050`  0000068440`  0000068940
400`  CACH`  AUM`  0001`  `  3100`  0000068440`  0000068940
400`  CACH`  AUM`  0001`  `  7900`  0000068440`  0000068940
400`  CACH`  AUM`  0001`  `  7920`  0000068440`  0000068940
400`  CACH`  BSX`  0001`  `  3000`  0000012100`  0000012100
400`  CACH`  BSX`  0001`  `  3001`  0000012100`  0000012100
400`  CACH`  BSX`  0001`  `  3030`  0000012300`  0000012300
400`  CACH`  BSX`  0001`  `  3031`  0000012310`  0000012310
400`  CACH`  BSX`  0001`  `  3040`  0000012200`  0000012200
400`  CACH`  BSX`  0001`  `  3050`  0000012320`  0000012320
400`  CACH`  BSX`  0001`  `  3100`  0000012000`  0000012000
400`  CACH`  BSX`  0001`  `  7900`  0000012700`  0000012700
400`  CACH`  BSX`  0001`  `  7920`  0000012600`  0000012600
400`  CACN`  AUM`  0001`  `  3000`  0056010600`  0055010730
400`  CACN`  AUM`  0001`  `  3001`  0056010600`  0055010730
400`  CACN`  AUM`  0001`  `  3030`  0056010600`  0055010730
400`  CACN`  AUM`  0001`  `  3031`  0056010600`  0055010730
400`  CACN`  AUM`  0001`  `  3040`  0056010600`  0055010730
400`  CACN`  AUM`  0001`  `  3050`  0056010600`  0055010730
400`  CACN`  AUM`  0001`  `  3100`  0056010600`  0055010730
400`  CACN`  AUM`  0001`  `  7900`  0056010600`  0055010730
400`  CACN`  AUM`  0001`  `  7920`  0056010600`  0055010730
400`  CACN`  BSX`  0001`  `  3000`  0014030000`  0014030000
400`  CACN`  BSX`  0001`  `  3001`  0014030000`  0014030000
400`  CACN`  BSX`  0001`  `  3030`  0014030000`  0014030000
400`  CACN`  BSX`  0001`  `  3031`  0014030000`  0014030000
400`  CACN`  BSX`  0001`  `  3040`  0014110000`  0014110000
400`  CACN`  BSX`  0001`  `  3050`  0014110000`  0014110000
400`  CACN`  BSX`  0001`  `  3100`  0014060000`  0014060000
400`  CACN`  BSX`  0001`  `  7900`  0014050000`  0014050000
400`  CACN`  BSX`  0001`  `  7920`  0014050000`  0014050000
400`  CACO`  AUM`  0001`  `  3000`  0053959500`  0042109500
400`  CACO`  AUM`  0001`  `  3001`  0053959500`  0042109500
400`  CACO`  AUM`  0001`  `  3030`  0053959500`  0042109500
400`  CACO`  AUM`  0001`  `  3031`  0053959500`  0042109500
400`  CACO`  AUM`  0001`  `  3040`  0053959500`  0042109500
400`  CACO`  AUM`  0001`  `  3050`  0053959500`  0042109500
400`  CACO`  AUM`  0001`  `  3100`  0053959500`  0042109500
400`  CACO`  AUM`  0001`  `  7900`  0053959500`  0042109500
400`  CACO`  AUM`  0001`  `  7920`  0053959500`  0042109500
400`  CACO`  BSX`  0001`  `  3050`  0014600100`  0014600100
400`  CACO`  BSX`  0001`  `  3100`  0014350100`  0014350100
400`  CACO`  BSX`  0001`  `  7900`  0014100100`  0014100100
400`  CACO`  BSX`  0001`  `  7920`  0014300500`  0014300500
400`  CACZ`  AUM`  0001`  `  3000`  0000111920`  0000111930
400`  CACZ`  AUM`  0001`  `  3001`  0000111920`  0000111930
400`  CACZ`  AUM`  0001`  `  3030`  0000111920`  0000111930
400`  CACZ`  AUM`  0001`  `  3031`  0000111920`  0000111930
400`  CACZ`  AUM`  0001`  `  3040`  0000111920`  0000111930
400`  CACZ`  AUM`  0001`  `  3050`  0000111920`  0000111930
400`  CACZ`  AUM`  0001`  `  3100`  0000111920`  0000111930
400`  CACZ`  AUM`  0001`  `  7900`  0000111920`  0000111930
400`  CACZ`  AUM`  0001`  `  7920`  0000111920`  0000111930
400`  CACZ`  BSX`  0001`  `  3000`  0000112100`  0000112100
400`  CACZ`  BSX`  0001`  `  3001`  0000112200`  0000112200
400`  CACZ`  BSX`  0001`  `  3030`  0000112300`  0000112300
400`  CACZ`  BSX`  0001`  `  3031`  0000112600`  0000112600
400`  CACZ`  BSX`  0001`  `  3040`  0000112400`  0000112400
400`  CACZ`  BSX`  0001`  `  3050`  0000112500`  0000112500
400`  CACZ`  BSX`  0001`  `  3100`  0000123100`  0000123100
400`  CACZ`  BSX`  0001`  `  7920`  0000123100`  0000123100
400`  CACZ`  UMB`  0001`  `  3000`  0000501940`  0000501970
400`  CACZ`  UMB`  0001`  `  3001`  0000501940`  0000501970
400`  CACZ`  UMB`  0001`  `  3030`  0000501940`  0000501970
400`  CACZ`  UMB`  0001`  `  3031`  0000501940`  0000501970
400`  CACZ`  UMB`  0001`  `  3040`  0000501940`  0000501970
400`  CACZ`  UMB`  0001`  `  3050`  0000501940`  0000501970
400`  CACZ`  UMB`  0001`  `  3100`  0000501940`  0000501970
400`  CAFI`  AUM`  0001`  `  3000`  0000442200`  0000442100
400`  CAFI`  AUM`  0001`  `  3001`  0000442200`  0000442100
400`  CAFI`  AUM`  0001`  `  3030`  0000442200`  0000442100
